CompanyID,CompanyAcronym,CompanyName,SignalID,HistorianID,HistorianAcronym,HistorianConnectionString,PointID,PointTag,AlternateTag,DeviceID,NodeID,DeviceAcronym,DeviceName,FramesPerSecond,DeviceEnabled,ContactList,VendorDeviceID,VendorDeviceName,VendorDeviceDescription,ProtocolID,ProtocolAcronym,ProtocolName,SignalTypeID,PhasorSourceIndex,PhasorLabel,PhasorType,Phase,BaseKV,SignalReference,Adder,Multiplier,Description,Subscribed,Internal,Enabled,EngineeringUnits,Source,SignalAcronym,SignalName,SignalTypeSuffix,Longitude,Latitude,ID,UpdatedOn
30,TVA,Tennessee Valley Authority,7aaf0a8f-3a4f-4c43-ab43-ed9d1e64a255,1,PPA,,1,TVA_SHELBY:ABBS,,1,e7a5235d-cb6f-4864-a96e-a8686f36e599,SHELBY,Shelby,30,0,,2,ABB-521,ABB RES521,4,Ieee1344,IEEE 1344-1995,8,,,,,,SHELBY-SF,0.0,1.0,Shelby ABB-521 Status Flags,0,1,1,,PMU,FLAG,Status Flags,SF,-89.8038,35.3871,PPA:1,2020-04-28 04:24:25
30,TVA,Tennessee Valley Authority,93673c68-d59d-4926-b7e9-e7678f9f66b4,1,PPA,,2,TVA_SHELBY:ABBF,,1,e7a5235d-cb6f-4864-a96e-a8686f36e599,SHELBY,Shelby,30,0,,2,ABB-521,ABB RES521,4,Ieee1344,IEEE 1344-1995,5,,,,,,SHELBY-FQ,0.0,1.0,Shelby ABB-521 Frequency,0,1,1,Hz,PMU,FREQ,Frequency,FQ,-89.8038,35.3871,PPA:2,2020-04-28 04:24:25
30,TVA,Tennessee Valley Authority,65ac9cf6-ae33-4ece-91b6-bb79343855d5,1,PPA,,3,TVA_SHELBY:ABBD1,,1,e7a5235d-cb6f-4864-a96e-a8686f36e599,SHELBY,Shelby,30,0,,2,ABB-521,ABB RES521,4,Ieee1344,IEEE 1344-1995,9,,,,,,SHELBY-DV1,0.0,1.0,Shelby ABB-521 Digital Value 1,0,1,1,,PMU,DIGI,Digital Value,DV,-89.8038,35.3871,PPA:3,2020-04-28 04:24:25
30,TVA,Tennessee Valley Authority,3647f729-d0ed-4f79-85ad-dae2149cd432,1,PPA,,4,TVA_SHELBY:ABBDF,,1,e7a5235d-cb6f-4864-a96e-a8686f36e599,SHELBY,Shelby,30,0,,2,ABB-521,ABB RES521,4,Ieee1344,IEEE 1344-1995,6,,,,,,SHELBY-DF,0.0,1.0,Shelby ABB-521 Frequency Delta (dF/dt),0,1,1,,PMU,DFDT,Frequency Delta (dF/dt),DF,-89.8038,35.3871,PPA:4,2020-04-28 04:24:25
30,TVA,Tennessee Valley Authority,069c5e29-f78a-46f6-9dff-c92cb4f69371,1,PPA,,5,TVA_SHELBY-BUS1:ABBV,,1,e7a5235d-cb6f-4864-a96e-a8686f36e599,SHELBY,Shelby,30,0,,2,ABB-521,ABB RES521,4,Ieee1344,IEEE 1344-1995,3,1,500 kV Bus 1,V,+,0,SHELBY-PM1,0.0,1.0,Shelby ABB-521 500 kV Bus 1 Positive Sequence Voltage Magnitude,0,1,1,Volts,Phasor,VPHM,Voltage Magnitude,PM,-89.8038,35.3871,PPA:5,2020-04-28 04:24:25
30,TVA,Tennessee Valley Authority,25355a7b-2a9d-4ef2-99ba-4dd791461379,1,PPA,,6,TVA_SHELBY-BUS1:ABBVH,,1,e7a5235d-cb6f-4864-a96e-a8686f36e599,SHELBY,Shelby,30,0,,2,ABB-521,ABB RES521,4,Ieee1344,IEEE 1344-1995,4,1,500 kV Bus 1,V,+,0,SHELBY-PA1,0.0,1.0,Shelby ABB-521 500 kV Bus 1 Positive Sequence Voltage Phase Angle,0,1,1,Degrees,Phasor,VPHA,Voltage Phase Angle,PA,-89.8038,35.3871,PPA:6,2020-04-28 04:24:25
30,TVA,Tennessee Valley Authority,ee130f0f-8c94-414f-b081-9551ffb73753,1,PPA,,7,TVA_SHELBY-BUS2:ABBV,,1,e7a5235d-cb6f-4864-a96e-a8686f36e599,SHELBY,Shelby,30,0,,2,ABB-521,ABB RES521,4,Ieee1344,IEEE 1344-1995,3,2,500 kV Bus 2,V,+,0,SHELBY-PM2,0.0,1.0,Shelby ABB-521 500 kV Bus 2 Positive Sequence Voltage Magnitude,0,1,1,Volts,Phasor,VPHM,Voltage Magnitude,PM,-89.8038,35.3871,PPA:7,2020-04-28 04:24:25
30,TVA,Tennessee Valley Authority,96cb33be-f7e4-4dfe-a20a-50976aa507fd,1,PPA,,8,TVA_SHELBY-BUS2:ABBVH,,1,e7a5235d-cb6f-4864-a96e-a8686f36e599,SHELBY,Shelby,30,0,,2,ABB-521,ABB RES521,4,Ieee1344,IEEE 1344-1995,4,2,500 kV Bus 2,V,+,0,SHELBY-PA2,0.0,1.0,Shelby ABB-521 500 kV Bus 2 Positive Sequence Voltage Phase Angle,0,1,1,Degrees,Phasor,VPHA,Voltage Phase Angle,PA,-89.8038,35.3871,PPA:8,2020-04-28 04:24:25
30,TVA,Tennessee Valley Authority,34172112-0565-4ad7-b314-f0876d978751,1,PPA,,9,TVA_SHELBY-CORD:ABBI,,1,e7a5235d-cb6f-4864-a96e-a8686f36e599,SHELBY,Shelby,30,0,,2,ABB-521,ABB RES521,4,Ieee1344,IEEE 1344-1995,1,3,Cordova,I,+,0,SHELBY-PM3,0.0,1.0,Shelby ABB-521 Cordova Positive Sequence Current Magnitude,0,1,1,Amps,Phasor,IPHM,Current Magnitude,PM,-89.8038,35.3871,PPA:9,2020-04-28 04:24:25
30,TVA,Tennessee Valley Authority,70e72607-dbbc-458b-9c66-5fd32b447a03,1,PPA,,10,TVA_SHELBY-CORD:ABBIH,,1,e7a5235d-cb6f-4864-a96e-a8686f36e599,SHELBY,Shelby,30,0,,2,ABB-521,ABB RES521,4,Ieee1344,IEEE 1344-1995,2,3,Cordova,I,+,0,SHELBY-PA3,0.0,1.0,Shelby ABB-521 Cordova Positive Sequence Current Phase Angle,0,1,1,Degrees,Phasor,IPHA,Current Phase Angle,PA,-89.8038,35.3871,PPA:10,2020-04-28 04:24:25
